mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,380,3,798,80,878,provider,3911,0.379747,0.882353,0.685994,0.63093,0.5,"[""2248870"", ""19005293"", ""7639744""]","The statement ""Enhanced early production of inflammatory chemokines improves viral control in the lung"" can be supported by the information provided in Document 2. It mentions that memory CD4+ T cells induce the production of multiple innate inflammatory cytokines and chemokines (IICs) in the lung, which leads to early control of the virus during influenza infection. This suggests that enhanced early production",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,380,3,1141,80,1221,provider,4215,0.38961,0.882353,0.664211,0.63093,0.5,"[""2248870"", ""19005293"", ""7639744""]","The statement ""Enhanced early production of inflammatory chemokines improves viral control in the lung"" can be supported by the information provided in Document 2. According to Document 2, memory CD4+ T cells induce the production of multiple innate inflammatory cytokines and chemokines (IICs) in the lung, which leads to early control of the virus during influenza infection. This suggests that",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,380,5,1093,80,1173,provider,4726,0.379747,0.882353,0.685994,0.63093,0.5,"[""2248870"", ""19005293"", ""7639744"", ""32556431"", ""46617075""]","The statement ""Enhanced early production of inflammatory chemokines improves viral control in the lung"" can be supported by the information provided in Document 2. It mentions that memory CD4+ T cells induce the production of multiple innate inflammatory cytokines and chemokines (IICs) in the lung, which leads to early control of the virus during influenza infection. This suggests that enhanced early production",False,,1173,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,380,3,798,80,878,provider,4577,0.405063,0.941176,0.696631,0.63093,0.5,"[""2248870"", ""19005293"", ""7639744""]","The statement ""Enhanced early production of inflammatory chemokines improves viral control in the lung"" can be supported by the information provided in Document 2. This document states that memory CD4+ T cells enhance the production of multiple innate inflammatory cytokines and chemokines (IICs) in the lung, leading to early control of the virus during influenza infection. This suggests that increased production of",False,,878,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,384,10,4535,80,4615,provider,4006,0.204082,0.3,0.319173,0.0,0.0,"[""51972698"", ""14319754"", ""40666943"", ""21914176"", ""18074797"", ""581832"", ""41310252"", ""456304"", ""3462075"", ""8708082""]","The evidence is insufficient to conclusively state that the epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings. While Document 1 mentions that Samoa, a low-resource setting, is struggling to address the burden of noncommunicable diseases, and Document 6 notes that non-communicable diseases are becoming more prominent as countries develop, the documents do not provide a direct comparison of",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,384,3,916,80,996,provider,2808,0.242424,0.366667,0.351155,0.0,0.0,"[""51972698"", ""14319754"", ""40666943""]","The evidence is insufficient to fully support the statement that the epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings. 

While Document 1 mentions that Samoa, a small island developing state (implying a low economic setting), is struggling with the burden of noncommunicable diseases and has a high percentage of its adult population at risk, it does not provide a direct comparison",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,384,3,1321,80,1401,provider,3952,0.20202,0.3,0.348006,0.0,0.0,"[""51972698"", ""14319754"", ""40666943""]","The evidence is insufficient to confirm that the epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings. 

While Document 1 mentions that Samoa, a small island developing state with a low-resource setting, is struggling to address the burden of noncommunicable diseases, it does not provide a direct comparison with high economic settings. Document 2 discusses the differences in HAART treatment outcomes",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,384,5,1422,80,1502,provider,2255,0.244898,0.333333,0.364769,0.0,0.0,"[""51972698"", ""14319754"", ""40666943"", ""21914176"", ""18074797""]","The evidence is insufficient to conclusively state that the epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings. 

While Document 1 mentions that Samoa, a small island developing state with a low-resource setting, is struggling to address the burden of noncommunicable diseases, it does not provide a direct comparison with high economic settings. 

Document 2 compares low-income and high",False,,1502,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,384,3,916,80,996,provider,2263,0.242424,0.366667,0.351155,0.0,0.0,"[""51972698"", ""14319754"", ""40666943""]","The evidence is insufficient to fully support the statement that the epidemiological disease burden from noncommunicable diseases is more prevalent in low economic settings. 

While Document 1 mentions that Samoa, a small island developing state (implying a low economic setting), is struggling with the burden of noncommunicable diseases and has a high percentage of its adult population at risk, it does not provide a direct comparison",False,,996,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,386,10,3617,66,3683,provider,2393,0.465753,1.0,0.585366,1.0,1.0,"[""16495649"", ""21260231"", ""27550580"", ""22371455"", ""19052713"", ""42404093"", ""1695604"", ""13245542"", ""12039953"", ""70516463""]","The evidence is sufficient to answer the question. According to Document 1, errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations. The study found that ""Most errors occurred when giving bolus doses or making up drugs that required multiple step preparation."" This supports the statement in the question.",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,386,3,530,73,603,provider,2117,0.425,1.0,0.561122,1.0,1.0,"[""16495649"", ""21260231"", ""27550580""]","The evidence provided in the documents suggests that errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations. This is directly stated in Document 1, which found that ""Most errors occurred when giving bolus doses or making up drugs that required multiple step preparation."" Therefore, the answer to the question is confirmed by the provided documents.",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,386,3,1221,80,1301,provider,2261,0.386364,1.0,0.792132,1.0,1.0,"[""16495649"", ""21260231"", ""27550580""]","The evidence provided in the documents supports the statement that errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations. According to Document 1, ""Most errors occurred when giving bolus doses or making up drugs that required multiple step preparation."" This suggests that bolus administration and multiple-step medicine preparations are indeed associated with a higher incidence of errors in peripheral IV drug administration.",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,386,5,1013,73,1086,provider,2141,0.425,1.0,0.561122,1.0,1.0,"[""16495649"", ""21260231"", ""27550580"", ""22371455"", ""19052713""]","The evidence provided in the documents suggests that errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations. This is directly stated in Document 1, which mentions that ""Most errors occurred when giving bolus doses or making up drugs that required multiple step preparation."" Therefore, the answer to the question is supported by the provided documents.",False,,1086,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,386,3,530,73,603,provider,1988,0.425,1.0,0.561122,1.0,1.0,"[""16495649"", ""21260231"", ""27550580""]","The evidence provided in the documents suggests that errors in peripheral IV drug administration are most common during bolus administration and multiple-step medicine preparations. This is directly stated in Document 1, which found that ""Most errors occurred when giving bolus doses or making up drugs that required multiple step preparation."" Therefore, the answer to the question is confirmed by the provided documents.",False,,603,0
